model,problem,cost,time,solution
cut_crossfill-non_uniform,la01,1198,36.49736499786377,"[103, 413, 233, 412, 572, 772, 0, 785, 965, 409]"
cut_crossfill-non_uniform,la01,1186,44.92410635948181,"[48, 825, 597, 95, 724, 679, 303, 940, 281, 2]"
cut_crossfill-non_uniform,la01,1036,33.21704626083374,"[169, 515, 660, 472, 753, 706, 73, 268, 35, 354]"
cut_crossfill-non_uniform,la01,1110,37.22298765182495,"[151, 57, 436, 243, 529, 518, 697, 832, 37, 146]"
cut_crossfill-non_uniform,la01,1248,27.1568386554718,"[434, 39, 159, 481, 157, 704, 835, 970, 21, 430]"
cut_crossfill-non_uniform,la01,1007,39.03904962539673,"[3, 99, 785, 431, 144, 91, 582, 759, 327, 426]"
cut_crossfill-non_uniform,la01,1130,35.44996666908264,"[31, 6, 161, 561, 264, 243, 703, 884, 455, 546]"
cut_crossfill-non_uniform,la01,1168,32.56748652458191,"[169, 465, 299, 478, 638, 838, 52, 854, 30, 461]"
average-uniform,la01,1166,37.22949361801148,"[764, 26, 434, 64, 432, 836, 229, 850, 615, 22]"
average-uniform,la01,1264,32.04403614997864,"[256, 862, 798, 444, 56, 9, 586, 1008, 1031, 430]"
average-uniform,la01,1316,32.60251808166504,"[230, 848, 784, 404, 30, 840, 574, 1070, 550, 111]"
average-uniform,la01,1253,38.65472054481506,"[952, 638, 574, 220, 20, 29, 719, 334, 366, 883]"
average-uniform,la01,1245,39.255733251571655,"[938, 1034, 737, 364, 164, 173, 534, 24, 509, 875]"
average-uniform,la01,1300,27.222896337509155,"[994, 1090, 793, 439, 239, 248, 581, 99, 2, 930]"
average-uniform,la01,1286,35.07263898849487,"[1028, 769, 547, 193, 545, 2, 342, 18, 749, 904]"
average-uniform,la01,1263,36.35023999214173,"[1001, 661, 597, 206, 6, 15, 394, 807, 372, 893]"
average-uniform,la01,1226,31.91342568397522,"[243, 904, 840, 486, 43, 896, 630, 328, 95, 414]"
average-uniform,la01,1296,27.63624763488769,"[1038, 836, 772, 396, 196, 204, 569, 54, 541, 925]"
average-uniform,la01,1280,35.18673920631409,"[934, 914, 607, 253, 53, 62, 404, 581, 769, 910]"
average-uniform,la01,1249,40.62541294097901,"[39, 883, 639, 284, 637, 875, 434, 145, 177, 879]"
average-uniform,la01,1291,38.12576460838318,"[1033, 828, 764, 406, 206, 215, 561, 26, 36, 917]"
average-uniform,la01,1216,34.5396842956543,"[230, 894, 830, 476, 30, 886, 620, 315, 76, 401]"
average-uniform,la01,1251,33.63590598106384,"[993, 635, 571, 201, 1, 10, 368, 781, 346, 867]"
average-uniform,la01,1240,33.59987735748291,"[967, 781, 556, 202, 2, 10, 350, 530, 762, 870]"
average-uniform,la01,1183,29.145044088363647,"[192, 861, 797, 443, 890, 853, 96, 277, 4, 363]"
average-uniform,la01,1266,32.58800673484802,"[1000, 807, 545, 191, 543, 0, 340, 16, 787, 896]"
average-uniform,la01,1253,33.77202248573303,"[897, 104, 654, 300, 8, 1, 451, 628, 1020, 295]"
average-uniform,la01,1302,34.991573333740234,"[1002, 816, 752, 144, 304, 258, 889, 5, 37, 592]"
average-uniform,la01,1259,22.91519260406494,"[952, 1048, 751, 364, 164, 173, 548, 24, 514, 889]"
average-uniform,la01,1276,21.859788179397583,"[272, 874, 810, 456, 72, 25, 598, 1020, 1043, 442]"
average-uniform,la01,1270,26.684430360794067,"[430, 864, 1048, 876, 592, 555, 38, 233, 0, 860]"
